
D  100	WGS 84
GPS 12   2.01 
T  N51 29.5237 W001 09.1585 Thu Aug 14 13:52:42 1997
T  N51 29.4545 W001 08.9258 Thu Aug 14 13:53:02 1997
T  N51 29.7191 W001 09.0826 Thu Aug 14 13:53:23 1997
T  N51 30.1697 W001 09.1875 Thu Aug 14 13:53:43 1997
T  N51 30.6441 W001 09.3677 Thu Aug 14 13:54:04 1997
T  N51 31.0909 W001 09.5422 Thu Aug 14 13:54:24 1997
T  N51 31.5244 W001 09.7726 Thu Aug 14 13:54:44 1997
T  N51 31.9415 W001 09.7591 Thu Aug 14 13:55:04 1997
T  N51 32.0668 W001 10.2294 Thu Aug 14 13:55:25 1997
T  N51 32.3033 W001 10.6275 Thu Aug 14 13:55:46 1997
T  N51 32.5792 W001 10.9790 Thu Aug 14 13:56:06 1997
T  N51 32.8827 W001 11.3961 Thu Aug 14 13:56:27 1997
T  N51 33.2026 W001 11.8715 Thu Aug 14 13:56:47 1997
T  N51 33.5560 W001 12.4132 Thu Aug 14 13:57:08 1997
T  N51 33.8982 W001 12.9221 Thu Aug 14 13:57:28 1997
T  N51 34.0884 W001 13.4036 Thu Aug 14 13:57:49 1997
T  N51 33.9481 W001 13.1146 Thu Aug 14 13:58:10 1997
T  N51 34.0562 W001 13.3106 Thu Aug 14 13:58:30 1997
T  N51 34.1025 W001 13.1052 Thu Aug 14 13:58:51 1997
T  N51 33.9538 W001 13.0734 Thu Aug 14 13:59:11 1997
T  N51 34.1975 W001 12.9028 Thu Aug 14 13:59:31 1997
T  N51 33.9912 W001 13.0853 Thu Aug 14 13:59:51 1997
T  N51 34.2535 W001 12.9939 Thu Aug 14 14:00:12 1997
T  N51 34.6034 W001 13.3418 Thu Aug 14 14:00:33 1997
T  N51 34.9162 W001 13.7518 Thu Aug 14 14:00:53 1997
T  N51 35.2841 W001 13.9862 Thu Aug 14 14:01:13 1997
T  N51 35.6098 W001 14.2604 Thu Aug 14 14:01:34 1997
T  N51 35.9101 W001 14.6891 Thu Aug 14 14:01:54 1997
T  N51 36.0370 W001 15.2144 Thu Aug 14 14:02:14 1997
T  N51 36.2809 W001 15.6476 Thu Aug 14 14:02:34 1997
T  N51 36.6054 W001 16.0027 Thu Aug 14 14:02:54 1997
T  N51 36.9549 W001 16.3203 Thu Aug 14 14:03:15 1997
T  N51 37.3212 W001 16.5260 Thu Aug 14 14:03:35 1997
T  N51 37.2160 W001 16.4134 Thu Aug 14 14:03:56 1997
T  N51 37.6308 W001 16.2215 Thu Aug 14 14:04:17 1997
T  N51 38.0560 W001 16.1639 Thu Aug 14 14:04:38 1997
T  N51 38.4114 W001 16.0258 Thu Aug 14 14:04:59 1997
T  N51 38.7075 W001 15.7651 Thu Aug 14 14:05:19 1997
T  N51 39.0535 W001 15.5324 Thu Aug 14 14:05:40 1997
T  N51 39.3969 W001 15.7983 Thu Aug 14 14:06:01 1997
T  N51 39.4146 W001 16.0561 Thu Aug 14 14:06:21 1997
T  N51 39.5572 W001 15.7764 Thu Aug 14 14:06:42 1997
T  N51 39.4861 W001 15.8704 Thu Aug 14 14:07:02 1997
T  N51 39.5520 W001 15.9325 Thu Aug 14 14:07:23 1997
T  N51 39.6370 W001 15.6756 Thu Aug 14 14:07:44 1997
T  N51 39.5453 W001 15.5102 Thu Aug 14 14:08:05 1997
T  N51 39.4954 W001 15.6605 Thu Aug 14 14:08:26 1997
T  N51 39.6670 W001 15.5414 Thu Aug 14 14:08:46 1997
T  N51 39.5089 W001 15.3734 Thu Aug 14 14:09:07 1997
T  N51 39.6946 W001 15.4487 Thu Aug 14 14:09:27 1997
T  N51 39.7101 W001 15.1729 Thu Aug 14 14:09:48 1997
T  N51 39.6132 W001 15.1462 Thu Aug 14 14:10:08 1997
T  N51 39.8569 W001 14.8015 Thu Aug 14 14:10:29 1997
T  N51 40.1938 W001 14.3859 Thu Aug 14 14:10:50 1997
T  N51 40.5131 W001 13.9337 Thu Aug 14 14:11:10 1997
T  N51 40.8611 W001 13.5529 Thu Aug 14 14:11:30 1997
T  N51 41.0822 W001 13.6192 Thu Aug 14 14:11:50 1997
T  N51 40.9280 W001 13.1834 Thu Aug 14 14:12:11 1997
T  N51 41.1611 W001 12.5964 Thu Aug 14 14:12:31 1997
T  N51 41.3764 W001 11.8963 Thu Aug 14 14:12:51 1997
T  N51 41.4626 W001 11.1274 Thu Aug 14 14:13:12 1997
T  N51 41.5006 W001 10.4811 Thu Aug 14 14:13:33 1997
T  N51 41.3519 W001 10.0147 Thu Aug 14 14:13:53 1997
T  N51 41.4546 W001 10.3211 Thu Aug 14 14:14:14 1997
T  N51 41.8225 W001 10.2004 Thu Aug 14 14:14:34 1997
T  N51 42.2113 W001 10.0041 Thu Aug 14 14:14:55 1997
T  N51 42.6172 W001 10.0440 Thu Aug 14 14:15:15 1997
T  N51 43.0227 W001 10.0819 Thu Aug 14 14:15:35 1997
T  N51 43.3977 W001 10.1724 Thu Aug 14 14:15:56 1997
T  N51 43.3916 W001 09.9220 Thu Aug 14 14:16:16 1997
T  N51 43.5683 W001 10.1701 Thu Aug 14 14:16:37 1997
T  N51 43.4041 W001 10.1344 Thu Aug 14 14:16:58 1997
T  N51 43.6822 W001 10.3130 Thu Aug 14 14:17:18 1997
T  N51 44.1029 W001 10.2545 Thu Aug 14 14:17:39 1997
T  N51 44.5036 W001 10.1602 Thu Aug 14 14:17:59 1997
T  N51 44.9024 W001 10.0739 Thu Aug 14 14:18:19 1997
T  N51 45.3430 W001 10.0295 Thu Aug 14 14:18:40 1997
T  N51 45.7515 W001 09.9014 Thu Aug 14 14:19:00 1997
T  N51 46.1345 W001 09.6371 Thu Aug 14 14:19:21 1997
T  N51 46.5343 W001 09.3832 Thu Aug 14 14:19:41 1997
T  N51 46.9652 W001 09.1450 Thu Aug 14 14:20:02 1997
T  N51 47.3689 W001 08.8695 Thu Aug 14 14:20:22 1997
T  N51 47.7834 W001 08.5924 Thu Aug 14 14:20:43 1997
T  N51 48.1867 W001 08.3445 Thu Aug 14 14:21:04 1997
T  N51 48.6048 W001 08.0947 Thu Aug 14 14:21:25 1997
T  N51 48.6222 W001 07.7323 Thu Aug 14 14:21:46 1997
T  N51 48.7365 W001 07.8971 Thu Aug 14 14:22:06 1997
T  N51 48.5759 W001 07.8521 Thu Aug 14 14:22:27 1997
T  N51 48.7368 W001 08.1533 Thu Aug 14 14:22:48 1997
T  N51 48.6029 W001 08.0236 Thu Aug 14 14:23:09 1997
T  N51 48.6547 W001 07.7648 Thu Aug 14 14:23:30 1997
T  N51 48.7461 W001 07.8282 Thu Aug 14 14:23:51 1997
T  N51 48.6579 W001 07.9283 Thu Aug 14 14:24:12 1997
T  N51 48.5591 W001 07.7516 Thu Aug 14 14:24:33 1997
T  N51 48.6480 W001 07.5811 Thu Aug 14 14:24:54 1997
T  N51 48.5005 W001 07.8469 Thu Aug 14 14:25:14 1997
T  N51 48.7526 W001 07.4369 Thu Aug 14 14:25:35 1997
T  N51 48.6698 W001 07.5193 Thu Aug 14 14:25:56 1997
T  N51 48.8575 W001 07.0954 Thu Aug 14 14:26:16 1997
